Date,Investment Category,Type,Stock,Transacted Units,Transacted Price (per unit),Fees,Stock Split Ratio,Previous Units,Cumulative Units,Transacted Value,Previous Cost,Cost of Transaction,Avg Stock Price,Cumulative Cost,Gains/Losses from Sale,Realised Gains/Losses %,,,,,,,
2021-01-21,HK Stock SHK,Buy,3690,1300,$380.20,"$1,788.53",0.0,0,1300,"$496,048.53",$0.00,-,-,"$496,048.53",$0.00,,,IB,,,,,
2021-09-09,HK Stock SHK,Buy,1772,2000,$157.80,$618.96,0.0,0,2000,"$316,218.96",$0.00,-,-,"$316,218.96",$0.00,,,Fund In,Fund Out,Other In/out,Currency ,Cash Balance,Balanace as at 
2021-10-27,HK Stock SHK,Buy,2013,5000,$12.14,$240.48,0.0,0,5000,"$60,940.48",$0.00,-,-,"$60,940.48",$0.00,,,"$7,200,000.00","-$8,059,974.65","$3,531,934.69",HKD,"2,671,960.04",2025/09/04
2021-11-03,HK Stock SHK,Buy,2013,5000,$11.56,$229.95,0.0,5000,10000,"$58,029.95","$60,940.48",-,-,"$118,970.43",$0.00,,,"$5,050,000.00","-$6,504,518.31","$3,353,708.79",USD,"1,899,190.48",2025/09/04
2021-10-27,HK Stock SHK,Buy,0968,6000,$15.38,$362.80,0.0,0,6000,"$92,642.80",$0.00,-,-,"$92,642.80",$0.00,,,,,,,,
2021-11-01,HK Stock SHK,Buy,2269,1000,$110.80,$435.53,0.0,0,1000,"$111,235.53",$0.00,-,-,"$111,235.53",$0.00,,,Citi SG,,,,,
2021-10-19,HK Stock Citi SG,Buy,0823,3073,$68.15,$588.42,0.0,0,3073,"$210,013.37",$0.00,-,-,"$210,013.37",$0.00,,,Fund In,Fund Out,Other In/out,Currency ,Cash Balance,Balanace as at 
2021-10-19,HK Stock Citi SG,Buy,0388,400,$476.20,$548.38,0.0,0,400,"$191,028.38",$0.00,-,-,"$191,028.38",$0.00,,,"$500,000.00","-$531,762.71","$64,372.65",HKD,"32,609.94",2025/09/04
2022-02-25,HK Stock IB,Buy,0388,1300,$389.80,"$1,079.83",0.0,400,1700,"$507,819.83","$191,028.38",-,-,"$698,848.21",$0.00,,,"$200,000.00","-$153,807.58","$142,399.87",USD,"188,592.29",2025/09/04
2022-03-04,HK Stock IB,Buy,0388,1500,$353.80,"$1,129.67",0.0,1700,3200,"$531,829.67","$698,848.21",-,-,"$1,230,677.88",$0.00,,,,,,,,
2022-03-07,HK Stock IB,Buy,3690,3400,$148.00,"$1,073.97",0.0,1300,4700,"$504,273.97","$496,048.53",-,-,"$1,000,322.50",$0.00,,,SHK,,,,,
2022-03-09,HK Stock IB,Buy,0388,1600,$324.00,"$1,105.49",0.0,3200,4800,"$519,505.49","$1,230,677.88",-,-,"$1,750,183.37",$0.00,,,Fund In,Fund Out,Other In/out,Currency ,Cash Balance,Balanace as at 
2022-03-11,HK Stock IB,Buy,0388,1500,$347.40,"$1,109.73",0.0,4800,6300,"$522,209.73","$1,750,183.37",-,-,"$2,272,393.10",$0.00,,,"$3,777,000.00","-$13,235,387.37","$10,639,378.21",HKD,"1,180,990.84",2025/09/04
2022-02-09,US Stock Citi SG,Buy,OPA,5000,$9.9998,$75.00,0.0,0,5000,"$50,074.00",$0.00,-,-,"$50,074.00",$0.00,,,$0.00,$0.00,"$2,377.62",USD,"2,377.62",2025/09/04
2022-02-09,US Stock Citi SG,Buy,TSLA,110,$941.62,$155.38,0.0,0,110,"$103,733.58",$0.00,-,-,"$103,733.58",$0.00,,,,,,,,
2022-02-24,US Stock IB,Buy,TSLA,60,$790.54,$1.00,0.0,110,170,"$47,433.10","$103,733.58",-,-,"$151,166.68",$0.00,,,Victory,,,,,
2022-02-24,US Stock IB,Buy,VYM,460,$108.81,$2.30,0.0,0,460,"$50,053.57",$0.00,-,-,"$50,053.57",$0.00,,,Fund In,Fund Out,Other In/out,Currency ,Cash Balance,Balanace as at 
2022-02-26,US Stock IB,Buy,TSLA,60,$802.69,$1.00,0.0,170,230,"$48,162.40","$151,166.68",-,-,"$199,329.08",$0.00,,,"$270,000.00","-$265,752.35",$122.90,HKD,"4,370.55",2025/09/04
2022-02-26,US Stock IB,Buy,COIN,285,$176.75,$1.42,0.0,0,285,"$50,376.42",$0.00,-,-,"$50,376.42",$0.00,,,$0.00,$0.00,$0.00,USD,0.00,2025/09/04
2022-02-26,US Stock IB,Buy,AAPL,310,$163.80,$1.55,0.0,0,310,"$50,778.91",$0.00,-,-,"$50,778.91",$0.00,,,,,,,,
2022-03-14,US Stock IB,Buy,TSLA,60,$788.68,$1.00,0.0,230,290,"$47,321.80","$199,329.08",-,-,"$246,650.88",$0.00,,,,,,,,
2022-03-14,US Stock IB,Buy,AAPL,300,$152.78,$2.01,0.0,310,610,"$45,836.01","$50,778.91",-,-,"$96,614.92",$0.00,,,,,,,,
2022-03-14,US Stock IB,Buy,QQQ,200,$324.37,$1.00,0.0,0,200,"$64,874.38",$0.00,-,-,"$64,874.38",$0.00,,,,,,,,
2022-03-14,US Stock IB,Buy,JPM,300,$131.05,$1.50,0.0,0,300,"$39,315.02",$0.00,-,-,"$39,315.02",$0.00,,,,,,,,
2022-03-14,US Stock IB,Buy,PG,400,$145.90,$2.00,0.0,0,400,"$58,363.36",$0.00,-,-,"$58,363.36",$0.00,,,,,,,,
2022-03-14,US Stock IB,Buy,PFE,1000,$52.64,$5.00,0.0,0,1000,"$52,640.84",$0.00,-,-,"$52,640.84",$0.00,,,,,,,,
2022-03-14,US Stock IB,Buy,NU,8300,$6.04,$41.50,0.0,0,8300,"$50,143.76",$0.00,-,-,"$50,143.76",$0.00,,,,,,,,
2022-03-15,HK Stock IB,Buy,0665,1000000,$1.52,"$3,233.59",0.0,0,1000000,"$1,518,763.59",$0.00,-,-,"$1,518,763.59",$0.00,,,,,,,,
2022-03-15,HK Stock Citi SG,Buy,3329,89000,$1.16,$297.96,0.0,0,89000,"$103,537.96",$0.00,-,-,"$103,537.96",$0.00,,,FUND IN RECORD ,,,,,
2022-03-16,HK Stock IB,Buy,0388,3000,$332.67,"$2,129.82",0.0,6300,9300,"$1,000,129.82","$2,272,393.10",-,-,"$3,272,522.92",$0.00,,,Date,Investment Category,Currency,Amount,Remark,
2022-03-16,US Stock IB,Buy,VOO,110,$397.34,$1.00,0.0,0,110,"$43,708.40",$0.00,-,-,"$43,708.40",$0.00,,,2022-02-25,HK Stock IB,HKD,"$2,000,000.00",,
2022-03-16,US Stock IB,Buy,VYM,450,$110.60,$2.25,0.0,460,910,"$49,770.90","$50,053.57",-,-,"$99,824.47",$0.00,,,2022-03-07,HK Stock IB,HKD,"$1,000,000.00",,
2022-03-16,US Stock IB,Buy,QQQ,150,$335.04,$1.00,0.0,200,350,"$50,256.80","$64,874.38",-,-,"$115,131.18",$0.00,,,2022-01-03,US Stock IB,USD,"$350,000.00",,
2022-03-16,US Stock IB,Buy,AAPL,320,$157.24,$1.60,0.0,610,930,"$50,318.02","$96,614.92",-,-,"$146,932.94",$0.00,,,2022-03-08,US Stock IB,USD,"$100,000.00",,
2022-03-16,US Stock IB,Buy,TSLA,60,$822.96,$1.00,0.0,290,350,"$49,378.60","$246,650.88",-,-,"$296,029.48",$0.00,,,2022-03-14,US Stock IB,USD,"$200,000.00",,
2022-03-17,HK Stock Other,Buy,2369,13750000,$0.28,$0.00,0.0,0,13750000,"$3,850,000.00",$0.00,-,-,"$3,850,000.00",$0.00,,,2022-02-09,US Stock Citi SG,USD,"$50,000.00",,
2022-03-17,US Stock IB,Buy,BRk.B,50,$339.63,$1.00,0.0,0,50,"$16,982.50",$0.00,-,-,"$16,982.50",$0.00,,,2022-02-09,US Stock Citi SG,USD,"$50,000.00",,
2022-03-17,US Stock IB,Buy,BRk.A,2,"$515,064.50",$2.00,0.0,0,2,"$1,030,130.99",$0.00,-,-,"$1,030,130.99",$0.00,,,2022-03-15,HK Stock IB,HKD,"$1,200,000.00",,
2022-03-17,US Stock IB,Buy,BRk.B,450,$343.20,$2.25,0.0,50,500,"$154,440.25","$16,982.50",-,-,"$171,422.75",$0.00,,,2022-03-15,HK Stock IB,HKD,"$1,000,000.00",,
2021-12-31,HK Stock Citi SG,Div,0823,3000,$1.60,$0.00,0.0,3073,3073,"$4,787.70","$210,013.37",-,-,"$210,013.37","$4,787.70",,,2022-03-16,US Stock IB,USD,"$200,000.00",,
2022-03-18,US Stock IB,Sell,BRk.A,2,"$515,437.58",$6.26,0.0,2,0,"$1,030,868.90","$1,030,130.99","$1,030,130.99","$515,065.50",$0.00,$737.91,,,2022-03-16,HK Stock IB,HKD,"$1,000,000.00",,
2022-03-21,HK Stock IB,Sell,0665,100000,$1.54,$328.59,0.0,1000000,900000,"$153,671.41","$1,518,763.59","$151,876.36",$1.52,"$1,366,887.23","$1,795.05",,,2022-03-16,US Stock IB,USD,"$200,000.00",,
2022-03-21,US Stock IB,Buy,NU,6300,$7.85,$31.50,0.0,8300,14600,"$49,472.37","$50,143.76",-,-,"$99,616.13",$0.00,,,2022-03-17,US Stock IB,USD,"$1,300,000.00",,
2022-03-21,US Stock IB,Buy,QQQ,140,$348.56,$1.00,0.0,350,490,"$48,799.71","$115,131.18",-,-,"$163,930.89",$0.00,,,2022-03-22,US Stock IB,USD,"$200,000.00",,
2022-03-22,HK Stock IB,Buy,0700,2600,$378.00,"$2,095.25",0.0,0,2600,"$984,895.25",$0.00,-,-,"$984,895.25",$0.00,,,2022-03-25,HK Stock IB,HKD,"$1,000,000.00",,
2022-03-23,US Stock IB,Buy,AAPL,300,$166.86,$1.50,0.0,930,1230,"$50,059.50","$146,932.94",-,-,"$196,992.44",$0.00,,,2022-04-21,US Stock IB,USD,"$500,000.00",,
2022-03-23,US Stock IB,Buy,BRk.B,140,$354.00,$1.00,0.0,500,640,"$49,561.00","$171,422.75",-,-,"$220,983.75",$0.00,,,2022-05-05,US Stock IB,USD,"$1,000,000.00",,
2022-03-23,HK Stock Citi SG,Div,0388,400,$4.18,$0.00,0.0,9300,9300,"$1,672.00","$3,272,522.92",-,-,"$3,272,522.92","$1,672.00",,,2024-12-23,US Stock IB,USD,"$1,000,000.00",,
2022-03-23,HK Stock IB,Div,0388,2800,$4.18,$0.00,0.0,9300,9300,"$11,704.00","$3,272,522.92",-,-,"$3,272,522.92","$11,704.00",,,2024-12-10,HK Stock SHK,HKD,"$2,000,000.00",,
2022-03-24,HK Stock SHK,Buy,6098,2000,$35.00,$276.50,0.0,0,2000,"$70,276.50",$0.00,-,-,"$70,276.50",$0.00,,,2025-05-14,HK Stock Victory,HKD,"$5,350,000.00",,
2022-03-25,US Stock IB,Buy,GOOGL,35,"$2,804.09",$1.00,0.0,0,35,"$98,144.15",$0.00,-,-,"$98,144.15",$0.00,,,2025-05-23,HK Stock Victory,HKD,"-$5,080,000.00",,
2022-03-25,US Stock IB,Div,VYM,910,$0.66,$180.78,0.0,910,910,$421.82,"$99,824.47",-,-,"$99,824.47",$421.82,,,,,,,,
2022-03-25,HK Stock IB,Buy,3690,2200,$134.10,$628.42,0.0,4700,6900,"$295,648.43","$1,000,322.50",-,-,"$1,295,970.93",$0.00,,,,,,,,
2022-03-25,HK Stock SHK,Buy,1211,500,$218.00,$428.05,0.0,0,500,"$109,428.05",$0.00,-,-,"$109,428.05",$0.00,,,,,,,,
2022-03-25,US Stock IB,Buy,V,450,$218.08,$2.25,0.0,0,450,"$98,138.25",$0.00,-,-,"$98,138.25",$0.00,,,,,,,,
2022-03-25,US Stock IB,Buy,Y,110,$848.00,$1.00,0.0,0,110,"$93,281.00",$0.00,-,-,"$93,281.00",$0.00,,,,,,,,
2022-03-25,US Stock IB,Buy,AAPL,580,$173.23,$2.90,0.0,1230,1810,"$100,476.15","$196,992.44",-,-,"$297,468.59",$0.00,,,,,,,,
2022-03-25,US Stock IB,Buy,UNH,200,$510.46,$1.00,0.0,0,200,"$102,093.00",$0.00,-,-,"$102,093.00",$0.00,,,Total Interest Received ,,,,,
2022-03-28,HK Stock Citi SG,Sell,3329,7000,$1.17,$91.64,0.0,89000,82000,"$8,098.36","$103,537.96","$8,143.44",$1.16,"$95,394.52",-$45.08,,,IB HKD,IB USD,Citic SG HKD,Citic SG USD,SHK HKD,
2022-03-28,US Stock IB,Buy,TSLA,90,"$1,059.00",$1.00,0.0,350,440,"$95,311.00","$296,029.48",-,-,"$391,340.48",$0.00,,,"$3,007.43","$18,938.33",0,0,1459.66,
2022-03-30,US Stock IB,Buy,AMZN,15,"$3,346.00",$1.00,0.0,0,15,"$50,191.00",$0.00,-,-,"$50,191.00",$0.00,,,HKD,"$4,467.09",,,,
2022-03-30,US Stock IB,Div,VOO,110,$1.37,$45.33,0.0,110,110,$105.78,"$43,708.40",-,-,"$43,708.40",$105.78,,,USD,"$18,938.33",,,,
2022-03-31,HK Stock SHK,Buy,2269,1000,$63.90,$253.83,0.0,1000,2000,"$64,153.83","$111,235.53",-,-,"$175,389.36",$0.00,,,,,,,,
2022-04-04,HK Stock SHK,Sell,6098,2000,$36.50,$288.23,0.0,2000,0,"$72,711.77","$70,276.50","$70,276.50",$35.14,$0.00,"$2,435.27",,,,,,,,
2022-04-04,HK Stock SHK,Sell,1211,500,$230.00,$451.53,0.0,500,0,"$114,548.47","$109,428.05","$109,428.05",$218.86,$0.00,"$5,120.42",,,Interest Record,,,,,
2022-04-04,HK Stock SHK,Sell,2269,1000,$67.50,$267.10,0.0,2000,1000,"$67,232.90","$175,389.36","$87,694.68",$87.69,"$87,694.68","-$20,461.78",,,Date,Investment Category,Currency,Amount,Remark,
2022-04-11,US Stock IB,Buy,COIN,320,$154.50,$1.60,0.0,285,605,"$49,441.60","$50,376.42",-,-,"$99,818.02",$0.00,,,2022-03-31,HK Stock SHK,HKD,$10.84,,
2021-06-21,US Stock IB,Buy,DiDi,6922,$14.45,"$2,000.00",0.0,0,6922,"$101,999.37",$0.00,-,-,"$101,999.37",$0.00,,,2022-04-30,HK Stock SHK,HKD,$11.85,,
2022-04-14,US Stock IB,Buy,TWTR,1030,$48.82,$5.15,0.0,0,1030,"$50,289.75",$0.00,-,-,"$50,289.75",$0.00,,,2022-05-31,HK Stock SHK,HKD,$13.02,,
2022-04-14,US Stock IB,Buy,TWTR,1030,$49.13,$5.15,0.0,1030,2060,"$50,609.05","$50,289.75",-,-,"$100,898.80",$0.00,,,2022-06-30,HK Stock SHK,HKD,$12.60,,
2022-04-21,US Stock IB,Buy,NU,7250,$6.91,$36.25,0.0,14600,21850,"$50,133.75","$99,616.13",-,-,"$149,749.88",$0.00,,,2022-07-31,HK Stock SHK,HKD,$13.02,,
2022-04-21,US Stock IB,Buy,Y,60,$837.37,$1.00,0.0,110,170,"$50,243.20","$93,281.00",-,-,"$143,524.20",$0.00,,,2022-08-31,HK Stock SHK,HKD,$13.02,,
2022-04-22,US Stock IB,Buy,BRk.A,1,"$510,750.00",$1.00,0.0,0,1,"$510,751.00",$0.00,-,-,"$510,751.00",$0.00,,,2022-09-30,HK Stock SHK,HKD,$23.50,,
2022-04-28,US Stock IB,Buy,BRk.B,300,$329.80,$1.50,0.0,640,940,"$98,941.50","$220,983.75",-,-,"$319,925.25",$0.00,,,2022-10-31,HK Stock SHK,HKD,$80.60,,
2022-04-28,US Stock IB,Buy,NU,7850,$6.20,$39.25,0.0,21850,29700,"$48,709.25","$149,749.88",-,-,"$198,459.13",$0.00,,,2022-11-30,HK Stock SHK,HKD,$203.04,,
2022-04-28,US Stock IB,Buy,TSLA,60,$840.00,$1.00,0.0,440,500,"$50,401.00","$391,340.48",-,-,"$441,741.48",$0.00,,,2022-12-31,HK Stock SHK,HKD,$309.71,,
2022-04-29,US Stock IB,Div,QQQ,350,$0.43,$45.54,0.0,490,490,$106.25,"$163,930.89",-,-,"$163,930.89",$106.25,,,2023-01-31,HK Stock SHK,HKD,$403.62,,
2022-05-02,US Stock IB,Div,JPM,300,$1.00,$90.00,0.0,300,300,$210.00,"$39,315.02",-,-,"$39,315.02",$210.00,,,2023-02-28,HK Stock SHK,HKD,$364.84,,
2022-05-04,US Stock IB,Buy,NU,9400,$5.48,$49.20,0.0,29700,39100,"$51,555.60","$198,459.13",-,-,"$250,014.73",$0.00,,,2022-06-03,US Stock IB,USD,$244.74,,
2022-05-04,US Stock IB,Buy,BRk.B,155,$321.30,$1.00,0.0,940,1095,"$49,802.50","$319,925.25",-,-,"$369,727.75",$0.00,,,2022-07-06,HK Stock IB,HKD,$16.99,,
2022-05-04,US Stock IB,Buy,AAPL,310,161.65,$1.55,0.0,1810,2120,"$50,113.05","$297,468.59",-,-,"$347,581.64",$0.00,,,2022-07-06,US Stock IB,USD,$580.51,,
2022-05-04,US Stock IB,Buy,QQQ,155,$318.00,$1.00,0.0,490,645,"$49,291.00","$163,930.89",-,-,"$213,221.89",$0.00,,,2022-08-03,HK Stock IB,HKD,$80.16,,
2022-05-04,US Stock IB,Buy,AMZN,20,"$2,434.46",$1.00,0.0,15,35,"$48,690.20","$50,191.00",-,-,"$98,881.20",$0.00,,,2022-08-03,US Stock IB,USD,"$1,001.64",,
2022-05-13,US Stock IB,Div,AAPL,2120,$0.23,$146.28,0.0,2120,2120,$341.32,"$347,581.64",-,-,"$347,581.64",$341.32,,,2022-09-06,HK Stock IB,HKD,$294.93,,
2022-05-16,US Stock IB,Div,PG,400,$0.91,$109.60,0.0,400,400,$255.72,"$58,363.36",-,-,"$58,363.36",$255.72,,,2022-09-06,US Stock IB,USD,"$1,561.90",,
2022-05-24,US Stock IB,Sell,DiDi,6922,$1.41,$35.73,0.0,6922,0,"$9,724.29","$101,999.37","$101,999.37",$14.74,$0.00,"-$92,275.08",,,2022-10-05,HK Stock IB,HKD,$379.68,,
2022-06-01,US Stock IB,Div,V,450,$0.38,$50.63,0.0,450,450,$118.12,"$98,138.25",-,-,"$98,138.25",$118.12,,,2022-10-05,US Stock IB,USD,"$1,701.18",,
2022-06-06,HK Stock IB,Div,0700,2600,$1.60,$0.00,0.0,2600,2600,"$4,160.00","$984,895.25",-,-,"$984,895.25","$4,160.00",,,2022-11-03,HK Stock IB,HKD,$553.59,,
2022-06-10,US Stock IB,Div,PFE,1000,$0.40,$120.00,0.0,1000,1000,$280.00,"$52,640.84",-,-,"$52,640.84",$280.00,,,2022-11-03,US Stock IB,USD,"$2,343.97",,
2022-06-06,US Stock IB,Split,AMZN,0,$0.00,$0.00,20.0,35,700,$0.00,"$98,881.20",-,-,"$98,881.20",$0.00,,,2022-12-05,HK Stock IB,HKD,$570.74,,
2022-06-22,HK Stock IB,Buy,0665,90000,$0.00,$0.00,0.0,900000,990000,$0.00,"$1,366,887.23",-,-,"$1,366,887.23",$0.00,,,2022-12-05,US Stock IB,USD,"$3,429.71",,
2022-06-24,US Stock IB,Div,VYM,910,$0.85,$231.48,0.0,910,910,$540.11,"$99,824.47",-,-,"$99,824.47",$540.11,,,2023-01-05,HK Stock IB,HKD,$584.57,,
2022-06-28,US Stock IB,Div,UNH,200,$1.65,$99.00,0.0,200,200,$231.00,"$102,093.00",-,-,"$102,093.00",$231.00,,,2023-01-05,US Stock IB,USD,"$3,907.15",,
2022-07-05,US Stock IB,Div,VOO,110,$1.43,$47.26,0.0,110,110,$110.27,"$43,708.40",-,-,"$43,708.40",$110.27,,,2023-02-03,HK Stock IB,HKD,$526.77,,
2022-07-06,HK Stock SHK,Div,0968,6000,$0.10,$36.00,0.0,6000,6000,$564.00,"$92,642.80",-,-,"$92,642.80",$564.00,,,2023-02-03,US Stock IB,USD,"$4,167.53",,
2022-07-18,US Stock IB,Split,GOOGL,0,$0.00,$0.00,20.0,35,700,$0.00,"$98,144.15",-,-,"$98,144.15",$0.00,,,2024-05-30,HK Stock Victory,HKD,$122.30,,
2022-07-19,HK Stock Citi SG,Div,3329,82000,$0.05,$0.00,0.0,82000,82000,"$4,100.00","$95,394.52",-,-,"$95,394.52","$4,100.00",,,,,,,,
2022-07-29,US Stock IB,Div,QQQ,645,$0.53,$102.05,0.0,645,645,$238.12,"$213,221.89",-,-,"$213,221.89",$238.12,,,,,,,,
2022-08-01,US Stock IB,Div,JPM,300,$1.00,$90.00,0.0,300,300,$210.00,"$39,315.02",-,-,"$39,315.02",$210.00,,,,,,,,
2022-08-02,HK Stock Citi SG,Div,0823,3073,$1.46,$0.00,0.0,3073,3073,"$4,489.04","$210,013.37",-,-,"$210,013.37","$4,489.04",,,,,,,,
2022-08-04,HK Stock SHK,Div,1772,2000,$0.32,$50.00,0.0,2000,2000,$582.37,"$316,218.96",-,-,"$316,218.96",$582.37,,,,,,,,
2022-08-04,HK Stock SHK,Buy,1772,800,$0.00,$0.00,0.0,2000,2800,$0.00,"$316,218.96",-,-,"$316,218.96",$0.00,,,,,,,,
2022-08-11,US Stock IB,Div,AAPL,2120,$0.23,$146.28,0.0,2120,2120,$341.32,"$347,581.64",-,-,"$347,581.64",$341.32,,,,,,,,
2022-08-15,US Stock IB,Div,PG,400,$0.91,$109.60,0.0,400,400,$255.72,"$58,363.36",-,-,"$58,363.36",$255.72,,,,,,,,
2022-08-25,US Stock IB,Split,TSLA,780,$0.00,$0.00,3.0,500,1280,$0.00,"$441,741.48",-,-,"$441,741.48",$0.00,,,,,,,,
2022-08-25,US Stock Citi SG,Split,TSLA,220,$0.00,$0.00,3.0,1280,1500,$0.00,"$441,741.48",-,-,"$441,741.48",$0.00,,,,,,,,
2022-09-01,US Stock IB,Div,V,450,$0.38,$50.63,0.0,450,450,$118.12,"$98,138.25",-,-,"$98,138.25",$118.12,,,,,,,,
2022-09-06,US Stock IB,Div,PFE,1000,$0.40,$120.00,0.0,1000,1000,$280.00,"$52,640.84",-,-,"$52,640.84",$280.00,,,,,,,,
2022-09-06,HK Stock SHK,Div,0968,6000,$0.10,$30.00,0.0,6000,6000,$570.00,"$92,642.80",-,-,"$92,642.80",$570.00,,,,,,,,
2022-09-14,HK Stock IB,Div,0388,8900,$3.45,$0.00,0.0,9300,9300,"$30,705.00","$3,272,522.92",-,-,"$3,272,522.92","$30,705.00",,,,,,,,
2022-09-15,HK Stock Citi SG,Div,0388,400,$3.45,$0.00,0.0,9300,9300,"$1,380.00","$3,272,522.92",-,-,"$3,272,522.92","$1,380.00",,,,,,,,
2022-09-20,US Stock IB,Div,UNH,200,$1.65,$99.00,0.0,200,200,$231.00,"$102,093.00",-,-,"$102,093.00",$231.00,,,,,,,,
2022-09-22,US Stock IB,Div,VYM,910,$0.77,$209.45,0.0,910,910,$488.70,"$99,824.47",-,-,"$99,824.47",$488.70,,,,,,,,
